ODSEW-ShBeI-t1uDwd-hSRGPd href,ODSEW-ShBeI-t1uDwd-HiaYvf src,user_name,guide_status,num_reviews,ODSEW-ShBeI-z5C9Gb-icon src,ODSEW-ShBeI-fI6EEc src,ODSEW-ShBeI-fI6EEc src 2,unknown,uknown2,ODSEW-ShBeI-fI6EEc src 5,how_long_ago,ODSEW-ShBeI-jfdpUb,written_review,ODSEW-ShBeI-Sc2xXc-icon src,ODSEW-ShBeI-KFwaDe-V67aGc,ODSEW-ShBeI-Sc2xXc-icon src 2,ODSEW-ShBeI-KFwaDe-V67aGc 2
https://www.google.com/maps/contrib/102717226559320464636/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GjftVAqUunCD0w006UGOOSjpyFFa2umofMQYxVJTM8=w36-h36-p-c0x00000000-rp-mo-br100,Mel Bettencourt,Local Guide,33 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a month ago,New,"Really good burger. Big, but not monstrous. Good portion of fries. Friendly staff. Especially the guy who appeared to be the manager, Luis. Unfortunately we got there right at closing time, and he happily took our order and served us our …",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/106617357824275868759/reviews?hl=en-US,https://lh3.googleusercontent.com/a/AATXAJziKHHd37LeMtRskBk_hB2OHhdw6kTUATOTEk27=w36-h36-p-c0x00000000-rp-mo-ba4-br100,Jae Lee,Local Guide,・114 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a month ago,New,"Really good burger! As an info, price goes pretty high if add cheese and egg. I personally thought egg wasn't worth to add.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/101998716671455151704/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GjTk_uq0UTdr74wVKOQi0h3v_D0Tx8lbpgJ1OkGwig=w36-h36-p-c0x00000000-rp-mo-br100,blanca rodriguez,Local Guide,1 review,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 months ago,New,"The burger is great! But I asked for an extra bag so I can store my fries for later, I still needed a 3 Rd bag to divide food up. Anna says no, you got one there. Like will it kill you to give an extra bag. Good food but poor service.... Ain't be back to this location!",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/102572962659486933291/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Gh6h5DI5LGnhbxyLXNVtTOxTqKQNjUeNw5MTDrmQiA=w36-h36-p-c0x00000000-rp-mo-ba5-br100,Ivy Leung,Local Guide,・272 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 years ago,New,I love all the new burger joints that are opening up in the Bay Area! We found this place a couple weeks ago when we went to Slap Fish. So this time we came for burgers instead. All the meats they sourced is sustainable and organic. We got …,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/116019446312476322539/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Gg9LA9FvqBAcgczHSxIbXYeBBLGFm63Om6rYS3t7io=w36-h36-p-c0x00000000-rp-mo-ba4-br100,Erin Mcclure,Local Guide,・53 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 months ago,New,"I've been here once but really enjoyed their burgers. It was busy, so there was a wait. Paddy was juicy, bun great. They offered a lot of different toppings for their burgers and had good fries in my opinion. I'd recommend to anyone wanting a burger but nothing super fancy.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/107662738069914227147/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GidvDoYF1JZ2GqCCGR-dEu_jomE59jJQQTLZdcO-Q=w36-h36-p-c0x00000000-rp-mo-ba4-br100,Lydia Martinez,Local Guide,・124 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a month ago,New,"I drove my family to Super Duper burger 🍔,  cause my son told my Brother about this place and my brother loves burgers, guess what he loved the place. He says the he'll be back again soon.  I didn't eat nothing at all , but the place will be and my list. I'm definitely recommend.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/108749691214714763862/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GipsVkbpG3SgLakMaMbNYWFn28egiMt_jELqPvTQ2M=w36-h36-p-c0x00000000-rp-mo-br100,manish kumar tyagi,Local Guide,6 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 months ago,New,"Super Duper is our house favorite because of there awesome quality and taste vegetarian burger and garlic fries, I am a professional Chef, so when I am saying this then this due to my food experience behind it. …",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/110167079928921149602/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Gh_431qvsEYV-MweqETGDjI4CAej497T1K6cKXUIGQ=w36-h36-p-c0x00000000-rp-mo-ba4-br100,Mike Replogle,Local Guide,・44 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 months ago,New,"Good burger,  good fries.  Indoor and outdoor seating... LOTS of space! Social Distancing easy for covid times",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/115769872591015949977/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Gj0lb41Grx3EYDhr5WqKIAQLMFXja41jkc45LqPMQ=w36-h36-p-c0x00000000-rp-mo-ba4-br100,Nathaniel Plain,Local Guide,・29 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 months ago,New,"Always delicious with fast and friendly service. My go to is a Super Burger with cheese, a fried egg and extra grilled onions, side of Garlic Fries, and a Vanilla Shake spiked with a dash of bourbon. Also, do not forget to ask for pickles, they are absolutely divine with just the right amount of spices, acid and crunch.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/102453698443855120428/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Ghm5LgWZV6aJg0tNMfXXJnv0s-0WWd11ym_zjIu=w36-h36-p-c0x00000000-rp-mo-ba3-br100,Stacey Winkelmann,Local Guide,・25 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 weeks ago,New,"1st time at one. Burger was ok, but have had better, fries ok, Malt good but small. All in all, a little disappointed for the money spent.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
